"Txhash","Blockno","UnixTimestamp","DateTime","From","To","ContractAddress","Value_IN(ETH)","Value_OUT(ETH)","CurrentValue @ $0/Eth","TxnFee(ETH)","TxnFee(USD)","Historical $Price/Eth","Status","ErrCode"
"0x1e1b38a98bd517fe13e2b5af3206eb38301a9f35c14ba6f6244c7197a31f6a24","7001050","1576833571","12/20/2019 9:19:31 AM","0xd88cdf86736620448f4ac5c244425bbaf8968ea2","","0xd6e72079b9a5c54c9bc974bf98b4dc4c8a30228e","0","0","0","0.001197534","0","","","",""
"0x53684510a5827a93eafcae2c3f3ae57f3a037d4370c3fa1cdcfeac577082ce60","7001053","1576833602","12/20/2019 9:20:02 AM","0xd88cdf86736620448f4ac5c244425bbaf8968ea2","0xd6e72079b9a5c54c9bc974bf98b4dc4c8a30228e","","0.000000000000000123","0","0","0.000058699","0","","","",""
"0xdc5dc2b8356a3edc63519f07067469792eeb4a9249bfbdaa1c1fcc71ce9a9742","7001055","1576833627","12/20/2019 9:20:27 AM","0xd88cdf86736620448f4ac5c244425bbaf8968ea2","0xd6e72079b9a5c54c9bc974bf98b4dc4c8a30228e","","0","0","0","0.00005","0","","Error(0)","Out of gas",""
"0xd9ea54c1b4eaf2eba40629bd6d12fa7a645ffe2ccb5225f6554fc66a72457f99","7001071","1576833914","12/20/2019 9:25:14 AM","0xd88cdf86736620448f4ac5c244425bbaf8968ea2","0xd6e72079b9a5c54c9bc974bf98b4dc4c8a30228e","","0","0","0","0.000000000000418496","0","","","",""
